,Date,Close,Diff,Open,High,Low,Volume
1257,2018-09-05,5225,195,5235,5235,5220,1768
1256,2018-09-06,5275,50,5300,5300,5275,51
1255,2018-09-07,5285,10,5290,5290,5285,63
1254,2018-09-10,5295,10,5290,5295,5290,330
1250,2018-09-11,5305,10,5305,5335,5305,400
1249,2018-09-12,5220,85,5250,5250,5220,501
1248,2018-09-13,5350,130,5320,5350,5320,698
1247,2018-09-14,5330,20,5330,5330,5330,12
1246,2018-09-17,5315,15,5315,5315,5315,0
1243,2018-09-18,5250,65,5270,5270,5240,260
1242,2018-09-19,5310,60,5340,5340,5310,191
1241,2018-09-20,5345,35,5315,5345,5315,61
1240,2018-09-21,5325,20,5325,5325,5325,531
1239,2018-09-27,5470,145,5350,5475,5350,785
1235,2018-09-28,5390,80,5360,5390,5360,2331
1234,2018-10-01,5475,85,5445,5475,5445,97
1233,2018-10-02,5470,5,5475,5475,5470,128
1232,2018-10-04,5600,130,5485,5630,5485,4737
1231,2018-10-05,5570,30,5360,5590,5360,6953
1228,2018-10-08,5520,50,5490,5520,5490,898
1227,2018-10-10,5500,20,5500,5500,5470,184
1226,2018-10-11,5415,85,5445,5445,5415,418
1225,2018-10-12,5415,0,5415,5415,5385,955
1224,2018-10-15,5460,45,5460,5460,5440,506
1220,2018-10-16,5460,0,5455,5460,5455,5463
1219,2018-10-17,5420,40,5365,5555,5365,1024
1218,2018-10-18,5405,15,5405,5405,5375,840
1217,2018-10-19,5375,30,5375,5375,5375,548
1216,2018-10-22,5395,20,5395,5395,5370,196
1213,2018-10-23,5410,15,5410,5410,5380,514
1212,2018-10-24,5360,50,5365,5365,5330,1672
1211,2018-10-25,5350,10,5320,5350,5320,463
1210,2018-10-26,5355,5,5355,5355,5325,8
1209,2018-10-29,5300,55,5320,5320,5300,444
1205,2018-10-30,5305,5,5305,5305,5300,118
1204,2018-10-31,5235,70,5250,5250,5235,322
1203,2018-11-01,5200,35,5225,5225,5200,579
1202,2018-11-02,5255,55,5260,5260,5230,64
1201,2018-11-05,5350,95,5350,5350,5350,4
1198,2018-11-06,5290,60,5290,5290,5290,0
1197,2018-11-07,5270,20,5270,5270,5270,387
1196,2018-11-08,5275,5,5275,5275,5275,11
1195,2018-11-09,5310,35,5280,5310,5280,83
1194,2018-11-12,5210,100,5215,5215,5210,323
1190,2018-11-13,5200,10,5200,5200,5200,31
1189,2018-11-14,5200,0,5200,5200,5200,40
1188,2018-11-15,5215,15,5215,5215,5215,418
1187,2018-11-16,5235,20,5235,5235,5220,165
1186,2018-11-19,5255,20,5255,5255,5230,105
1183,2018-11-20,5255,0,5230,5255,5230,6
1182,2018-11-21,5230,25,5230,5230,5230,100
1181,2018-11-22,5250,20,5250,5280,5250,75
1180,2018-11-23,5275,25,5345,5345,5245,224
1179,2018-11-26,5250,25,5220,5250,5220,435
1175,2018-11-27,5245,5,5245,5245,5215,25
1174,2018-11-28,5190,55,5195,5195,5185,127
1173,2018-11-29,5240,50,5240,5240,5210,6
1172,2018-11-30,5215,25,5245,5245,5215,3269
1171,2018-12-03,5280,65,5280,5280,5280,9
1168,2018-12-04,5340,60,5345,5345,5315,36
1167,2018-12-05,5280,60,5255,5280,5255,28
1166,2018-12-06,5285,5,5290,5290,5260,93
1165,2018-12-07,5165,120,5170,5170,5150,151
1164,2018-12-10,5215,50,5195,5225,5195,201
1160,2018-12-11,5155,60,5165,5165,5135,295
1159,2018-12-12,5205,50,5205,5205,5205,20
1158,2018-12-13,5190,15,5190,5190,5190,3
1157,2018-12-14,5190,0,5160,5190,5160,7
1156,2018-12-17,5175,15,5175,5175,5175,7
1153,2018-12-18,5175,0,5175,5175,5175,23
1152,2018-12-19,5085,90,5090,5090,5055,899
1151,2018-12-20,5100,15,5100,5100,5100,197
1150,2018-12-21,5080,20,5080,5080,5080,2
1149,2018-12-24,5080,0,5060,5080,5060,5
1145,2018-12-26,5025,55,5045,5045,5025,1585
1144,2018-12-27,5040,15,5040,5040,5010,48
1143,2018-12-28,5000,40,5005,5005,5000,153
1142,2019-01-02,4990,10,4995,4995,4985,272
1141,2019-01-03,4895,95,4985,4985,4890,1271
1138,2019-01-04,4865,30,4930,4930,4865,1120
1137,2019-01-07,5045,180,5045,5045,5015,136
1136,2019-01-08,5025,20,4995,5025,4995,1005
1135,2019-01-09,5000,25,5000,5000,5000,13
1134,2019-01-10,5000,0,5030,5030,5000,1039
1130,2019-01-11,5015,15,5025,5025,5015,74
1129,2019-01-14,5000,15,5000,5000,5000,0
1128,2019-01-15,4925,75,4950,4950,4920,252
1127,2019-01-16,5000,75,5010,5010,4980,230
1126,2019-01-17,5010,10,5040,5040,5010,545
1123,2019-01-18,5010,0,5050,5050,5010,310
1122,2019-01-21,5100,90,5070,5100,5070,1200
1121,2019-01-22,5070,30,5090,5090,5070,157
1120,2019-01-23,4975,95,4975,4975,4945,719
1119,2019-01-24,5095,120,5070,5100,5070,77
1115,2019-01-25,5060,35,5060,5060,5035,152
1114,2019-01-28,5160,100,5060,5160,5060,697
1113,2019-01-29,5030,130,5030,5030,5030,433
1112,2019-01-30,5130,100,5130,5130,5100,382
1111,2019-01-31,5180,50,5150,5180,5150,4405
1108,2019-02-01,5210,30,5190,5220,5190,10684
1107,2019-02-07,5245,35,5220,5245,5220,827
1106,2019-02-08,5200,45,5210,5210,5180,3306
1105,2019-02-11,5180,20,5180,5185,5150,10595
1104,2019-02-12,5140,40,5135,5140,5135,1342
1100,2019-02-13,5105,35,5085,5110,5085,80
1099,2019-02-14,5120,15,5120,5120,5120,2008
1098,2019-02-15,5080,40,5110,5110,5080,126
1097,2019-02-18,5145,65,5115,5145,5115,189
1096,2019-02-19,5145,0,5200,5200,5145,2
1093,2019-02-20,5215,70,5215,5215,5210,5382
1092,2019-02-21,5240,25,5240,5240,5235,1247
1091,2019-02-22,5275,35,5265,5275,5265,1356
1090,2019-02-25,5320,45,5320,5350,5320,1012
1089,2019-02-26,5340,20,5310,5340,5310,215
1085,2019-02-27,5350,10,5350,5350,5320,418
1084,2019-02-28,5330,20,5330,5360,5330,619
1083,2019-03-04,5325,5,5235,5325,5235,436
1082,2019-03-05,5260,65,5285,5285,5255,145
1081,2019-03-06,5330,70,5300,5330,5300,781
1078,2019-03-07,5305,25,5305,5305,5305,0
1077,2019-03-08,5235,70,5265,5265,5235,1331
1076,2019-03-11,5240,5,5240,5240,5240,0
1075,2019-03-12,5205,35,5205,5210,5205,324
1074,2019-03-13,5285,80,5285,5285,5285,0
1070,2019-03-14,5300,15,5300,5300,5300,3104
1069,2019-03-15,5260,40,5360,5360,5255,139
1068,2019-03-18,5290,30,5195,5295,5195,819
1067,2019-03-19,5305,15,5300,5305,5300,305
1066,2019-03-20,5370,65,5350,5370,5350,712
1063,2019-03-21,5340,30,5355,5365,5340,27
1062,2019-03-22,5280,60,5310,5310,5280,147
1061,2019-03-25,5245,35,5250,5250,5245,10
1060,2019-03-26,5230,15,5230,5230,5230,19
1059,2019-03-27,5245,15,5230,5245,5220,24
1055,2019-03-28,5245,0,5245,5245,5245,1
1054,2019-03-29,5235,10,5235,5235,5235,1
